,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Miastko,48,PL,1544938193,91,54,16.98,25.26,8.41
1,Russell,0,AR,1544938194,54,-33.01,-68.8,51.04,4.72
2,Khatanga,44,RU,1544938194,75,71.98,102.47,-7.24,7.74
3,Barrow,0,AR,1544938194,40,-38.31,-60.23,70.71,18.37
4,Rikitea,24,PF,1544938195,100,-23.12,-134.97,78.85,6.96
5,Broome,8,GB,1544936160,100,52.47,1.45,42.44,9.17
6,Avarua,75,CK,1544936400,94,-21.21,-159.78,77,9.17
7,Provideniya,8,RU,1544938196,100,64.42,-173.23,2.44,6.62
8,Mar del Plata,0,AR,1544938197,43,-46.43,-67.52,64.45,29.1
9,Vaini,0,IN,1544936400,49,15.34,74.49,73.4,9.17
14,Jamestown,56,AU,1544938199,74,-33.21,138.6,69.22,10.76
15,Atuona,8,PF,1544938199,100,-9.8,-139.03,81.51,18.81
16,Ushuaia,40,AR,1544936400,60,-54.81,-68.31,39.2,19.46
18,Hami,0,CN,1544938200,71,42.84,93.51,18.55,3.6
19,Mataura,0,NZ,1544938201,51,-46.19,168.86,71.38,10.42
20,Kovdor,32,RU,1544938201,68,67.56,30.47,12.21,4.72
21,Okhotsk,8,RU,1544938202,100,59.36,143.24,-18.89,6.51
22,Weligama,8,LK,1544938202,81,5.97,80.42,84.88,14.67
23,Petropavlovka,8,RU,1544938203,46,50.61,105.32,17.02,3.94
25,Punta Arenas,0,CL,1544936400,65,-53.16,-70.91,41,17.22
26,Lagoa,75,PT,1544934600,87,37.14,-8.45,57.2,3.36
27,Prince George,90,CA,1544936400,74,53.92,-122.75,28.4,6.93
28,Cabo San Lucas,90,MX,1544935680,68,22.89,-109.91,69.8,5.82
29,Tuktoyaktuk,40,CA,1544936400,75,69.44,-133.03,-14.81,4.7
30,Luderitz,0,NA,1544938207,74,-26.65,15.16,59.95,14
31,Cortez,1,US,1544935980,71,37.35,-108.58,23,6.93
32,Chokurdakh,12,RU,1544938208,0,70.62,147.9,-41.8,2.82
33,Bluff,100,AU,1544938209,87,-23.58,149.07,76.33,8.52
34,Amalapuram,90,IN,1544936400,64,16.58,82,71.6,4.7
35,Albany,40,US,1544936220,71,42.65,-73.75,37.04,3.36
36,Chapais,90,CA,1544936400,86,49.78,-74.86,26.6,6.93
37,Mayo,75,CA,1544936400,76,63.59,-135.9,-5.81,10.29
38,Coolum Beach,92,AU,1544938211,100,-26.53,153.09,71.83,6.4
39,Launceston,40,AU,1544936400,73,-41.43,147.14,69.8,6.93
40,Kauhajoki,90,FI,1544937600,92,62.43,22.18,19.4,2.24
41,Ambulu,24,ID,1544938213,99,-8.35,113.61,82.59,9.31
42,Hithadhoo,20,MV,1544938213,100,-0.6,73.08,81.96,12.77
44,Mehamn,0,NO,1544938214,100,71.03,27.85,16.3,5.39
45,Banyumas,64,ID,1544938215,100,-7.52,109.29,81.37,5.61
46,Rio Grande,12,BR,1544938014,94,-32.03,-52.1,67.42,9.19
47,Hilo,1,US,1544935980,71,19.71,-155.08,73.94,5.82
48,Faanui,56,PF,1544938216,99,-16.48,-151.75,83.49,11.65
49,Griffith,40,AU,1544936400,28,-34.29,146.06,84.2,14.99
50,Qaanaaq,0,GL,1544938217,86,77.48,-69.36,-14.8,12.44
51,Saint-Philippe,1,CA,1544937060,92,45.36,-73.48,30.2,3.36
52,Viedma,0,AR,1544938217,25,-40.81,-62.99,76.24,16.8
53,Kavieng,68,PG,1544938218,100,-2.57,150.8,86.68,5.95
54,Preston,0,GB,1544935800,81,53.76,-2.71,42.8,8.05
55,Dikson,80,RU,1544938219,91,73.51,80.55,19.09,1.59
57,Kruisfontein,20,ZA,1544938219,87,-34,24.73,68.68,5.95
58,Port Alfred,88,ZA,1544938220,96,-33.59,26.89,70.62,2.71
60,Tazovskiy,44,RU,1544938220,60,67.47,78.7,-6.92,12.44
62,Den Helder,90,NL,1544936100,100,52.96,4.76,39.2,16.11
63,Lompoc,1,US,1544937300,93,34.64,-120.46,51.98,2.48
65,Katangli,64,RU,1544938222,100,51.71,143.23,15.94,5.95
66,Kudahuvadhoo,0,MV,1544938223,100,2.67,72.89,81.91,5.84
67,Senador Guiomard,0,BR,1544936400,94,-10.15,-67.74,75.2,2.24
68,Nome,1,US,1544937300,82,30.04,-94.42,48.92,4.7
69,Dolores,0,AR,1544938224,54,-36.31,-57.68,65.49,11.65
71,Los Llanos de Aridane,0,ES,1544936400,72,28.66,-17.92,64.4,10.29
73,San Cristobal,40,EC,1544936400,100,-0.39,-78.55,53.6,3.36
74,Grand Gaube,40,MU,1544936400,61,-20.01,57.66,82.4,18.34
75,Kapaa,90,US,1544935980,49,22.08,-159.32,75.02,18.34
76,Sao Filipe,8,CV,1544938226,96,14.9,-24.5,75.25,11.65
77,Bambous Virieux,40,MU,1544936400,61,-20.34,57.76,82.4,18.34
78,Nabire,88,ID,1544938227,89,-3.36,135.5,77.23,2.04
79,Pangnirtung,90,CA,1544936400,77,66.15,-65.72,3.2,2.24
80,Tasiilaq,92,GL,1544935800,98,65.61,-37.64,32,19.46
81,Busselton,92,AU,1544938229,100,-33.64,115.35,63.51,21.72
83,Saint George,40,GR,1544937600,93,39.45,22.34,48.2,6.93
84,Anadyr,20,RU,1544936400,73,64.73,177.51,-34.61,8.95
85,Talnakh,88,RU,1544938230,74,69.49,88.39,-3.32,10.98
86,Arraial do Cabo,44,BR,1544938231,92,-22.97,-42.02,76.11,19.82
87,Constitucion,0,MX,1544938231,57,23.99,-104.67,28.36,3.04
89,Lebu,40,ET,1544936400,54,8.96,38.73,53.6,4.7
90,Puerto Ayora,76,EC,1544938232,100,-0.74,-90.35,73.9,8.75
91,Vardo,90,US,1544937300,82,39.62,-77.74,46.04,18.34
92,Cidreira,48,BR,1544938233,91,-30.17,-50.22,71.47,10.98
93,Kuito,0,AO,1544938233,79,-12.38,16.94,66.52,6.17
94,Yar-Sale,80,RU,1544938234,92,66.83,70.83,21.16,15.23
96,Qaqortoq,76,GL,1544938234,91,60.72,-46.03,25.12,1.14
98,Lujan,0,AR,1544938235,30,-46.57,-67.67,63.28,28.88
99,Mwinilunga,92,ZM,1544938235,100,-11.73,24.43,63.55,3.38
100,Krasnyy Chikoy,36,RU,1544938236,44,50.36,108.75,17.2,4.16
101,Thompson,90,CA,1544936400,92,55.74,-97.86,23,12.75
102,Tall Kayf,0,TR,1544936400,81,37.08,41.07,37.4,8.05
103,Gigmoto,76,PH,1544938237,100,13.78,124.39,78.04,10.76
104,Candido Mota,36,BR,1544938214,87,-22.75,-50.39,71.11,5.84
105,Castro,90,CL,1544936400,100,-42.48,-73.76,55.4,10.29
106,Dingle,24,PH,1544938239,71,11,122.67,85.11,13.78
107,Salalah,20,OM,1544935800,50,17.01,54.1,77,12.75
